func_name,noise_std,rep,oracle_family,oracle_r2,dc_family,dc_r2,dc_regret,dc_correct,dc_time_ms,aic_family,aic_r2,aic_regret,aic_correct,aic_time_ms,bic_family,bic_r2,bic_regret,bic_correct,bic_time_ms,cv5_family,cv5_r2,cv5_regret,cv5_correct,cv5_time_ms,cv10_family,cv10_r2,cv10_regret,cv10_correct,cv10_time_ms
linear,0.1,22,poly5,0.9500276037206608,linear,0.9477485945328465,0.002279009187814207,False,7.829700000002049,linear,0.9477485945328465,0.002279009187814207,False,1.808000000892207,linear,0.9477485945328465,0.002279009187814207,False,1.408700001775287,poly,0.9492289052822372,0.0007986984384235063,False,94.16860000055749,poly,0.9492289052822372,0.0007986984384235063,False,172.08590000518598
linear,0.1,23,linear,0.9615916004870875,linear,0.9615916004870875,0.0,True,8.556599990697578,linear,0.9615916004870875,0.0,True,1.872900000307709,linear,0.9615916004870875,0.0,True,2.0939000096404925,linear,0.9615916004870875,0.0,True,82.13819999946281,linear,0.9615916004870875,0.0,True,140.47820000268985
linear,0.1,24,rf,0.9697458014945093,linear,0.9666129215338972,0.003132879960612067,False,6.018800006131642,linear,0.9666129215338972,0.003132879960612067,False,1.472300005843863,linear,0.9666129215338972,0.003132879960612067,False,1.2669999996433035,linear,0.9666129215338972,0.003132879960612067,False,68.6334999918472,linear,0.9666129215338972,0.003132879960612067,False,171.63199999777135
linear,0.1,25,linear,0.9843098021966926,linear,0.9843098021966926,0.0,True,6.031400000210851,linear,0.9843098021966926,0.0,True,1.4853999891784042,linear,0.9843098021966926,0.0,True,1.334899992798455,linear,0.9843098021966926,0.0,True,82.34350000566337,linear,0.9843098021966926,0.0,True,166.28659999696538
linear,0.1,26,poly5,0.9598778334836853,linear,0.9577289630832458,0.002148870400439429,False,6.082300009438768,linear,0.9577289630832458,0.002148870400439429,False,1.489599992055446,linear,0.9577289630832458,0.002148870400439429,False,2.023399996687658,linear,0.9577289630832458,0.002148870400439429,False,76.21189999917988,linear,0.9577289630832458,0.002148870400439429,False,144.04700000886805
linear,0.1,27,linear,0.9566317870863286,linear,0.9566317870863286,0.0,True,8.494400011841208,poly,0.9550583382552701,0.001573448831058477,False,1.5765999996801838,linear,0.9566317870863286,0.0,True,1.3192000042181462,poly,0.9548280727347948,0.0018037143515338139,False,72.93460000073537,poly,0.9548280727347948,0.0018037143515338139,False,162.1445000055246
linear,0.1,28,poly2,0.9767822151449062,linear,0.9761634856581939,0.0006187294867122661,False,6.3200000004144385,linear,0.9761634856581939,0.0006187294867122661,False,1.4786999963689595,linear,0.9761634856581939,0.0006187294867122661,False,1.2623000075109303,poly,0.9767822151449062,0.0,False,99.85939999751281,linear,0.9761634856581939,0.0006187294867122661,False,138.19810000131838
linear,0.1,29,poly2,0.9632893117338326,linear,0.9632853824523162,3.92928151637939e-06,False,6.504400007543154,linear,0.9632853824523162,3.92928151637939e-06,False,1.4949000033084303,linear,0.9632853824523162,3.92928151637939e-06,False,1.3175000058254227,linear,0.9632853824523162,3.92928151637939e-06,False,70.86490000074264,linear,0.9632853824523162,3.92928151637939e-06,False,158.02880001137964
linear,0.2,0,poly2,0.8714224448193095,linear,0.8699564598259142,0.0014659849933953417,False,7.207000002381392,poly,0.863363962143054,0.00805848267625553,False,1.5306999994209036,linear,0.8699564598259142,0.0014659849933953417,False,1.3359999866224825,poly,0.867683530696078,0.0037389141232315737,False,75.92760000261478,poly,0.863363962143054,0.00805848267625553,False,145.4276000004029
linear,0.2,1,poly5,0.9253490652369739,linear,0.9233921902659707,0.001956874971003164,False,7.102899995516054,poly,0.9253490652369739,0.0,False,1.5322000108426437,linear,0.9233921902659707,0.001956874971003164,False,1.3245000009192154,linear,0.9233921902659707,0.001956874971003164,False,71.92780000332277,linear,0.9233921902659707,0.001956874971003164,False,144.53650001087226
