function,category,n_train,best_degree,C_train,C_test,deltaC,R2_train,R2_test,gap,d_deltaC,d_gap,d_R2_train,d_R2_test,d2_deltaC,d2_gap,deltaC_ratio
sine,B_oscillatory,200,10,238.23712608857022,616.5923163957939,378.35519030722367,0.9827816404200266,0.9817814901622209,0.0010001502578056432,54.02651001976186,3.4086810989725216e-05,3.4086810989725216e-05,0.0,4.744461335329848,-3.663238684649128e-06,-0.538833175307391
sine,B_oscillatory,220,10,1351.1373149939043,616.5923163957939,-734.5449985981104,0.9833518745658631,0.9817814901622209,0.001570384403642211,-55.6450094452667,2.8511707291828393e-05,2.8511707291828393e-05,0.0,-5.483575973251428,-2.7875518489484117e-07,-1.9414164716536895
sine,B_oscillatory,240,10,2551.9682381035636,616.5923163957939,-1935.3759217077697,0.9838509754378956,0.9817814901622209,0.002069485275674632,-60.04154615548297,2.495504360162104e-05,2.495504360162104e-05,0.0,-0.21982683551081336,-1.7783318451036767e-07,2.63479558829134
sine,B_oscillatory,260,10,177.74640098510667,616.5923163957939,438.8459154106872,0.9818581145856484,0.9817814901622209,7.662442342748488e-05,118.71109185592286,-9.964304261235735e-05,-9.964304261235735e-05,0.0,8.937631900570292,-6.229904310698919e-06,-0.22674970298455038
sine,B_oscillatory,280,10,415.4784956941831,616.5923163957939,201.1138207016108,0.9821812438494184,0.9817814901622209,0.0003997536871974683,-11.88660473545382,1.6156463188499172e-05,1.6156463188499172e-05,0.0,-6.529884829568834,5.789975290042826e-06,0.45827889388785015
sine,B_oscillatory,300,10,1164.0989274786505,616.5923163957939,-547.5066110828566,0.9818613967768097,0.9817814901622209,7.990661458878723e-05,-37.43102158922337,-1.5992353630434054e-05,-1.5992353630434054e-05,0.0,-1.2772208426884775,-1.6074408409466614e-06,-2.7223718846015212
sine,B_oscillatory,320,10,647.5512652467937,616.5923163957939,-30.958948850999832,0.9820899234639062,0.9817814901622209,0.0003084333016852847,25.827383111592837,1.1426334354824874e-05,1.1426334354824874e-05,0.0,3.1629202350408105,1.3709343992629464e-06,0.05654534251151659
sine,B_oscillatory,340,10,348.78401917539304,616.5923163957939,267.80829722040085,0.9824422363636451,0.9817814901622209,0.0006607462014242005,14.938362303570035,1.761564498694579e-05,1.761564498694579e-05,0.0,-0.5444510404011401,3.094655316060458e-07,-8.650432497218066
sine,B_oscillatory,360,10,114.70238479235086,616.5923163957939,501.889931603443,0.9816322525876202,0.9817814901622209,-0.00014923757460072462,11.704081719152109,-4.049918880124626e-05,-4.049918880124626e-05,0.0,-0.16171402922089628,-2.905741689409602e-06,1.8740641601197205
sine,B_oscillatory,380,10,631.7416895219319,616.5923163957939,-15.149373126138016,0.9814155173846136,0.9817814901622209,-0.00036597277760730407,-25.851965236479053,-1.0836760150328973e-05,-1.0836760150328973e-05,0.0,-1.877802347781558,1.483121432545864e-06,-0.03018465239527449
sine,B_oscillatory,400,10,808.3991845100127,616.5923163957939,-191.8068681142188,0.9808083334166915,0.9817814901622209,-0.0009731567455294465,-8.832874749404038,-3.0359198396107125e-05,-3.0359198396107125e-05,0.0,0.8509545243537507,-9.761219122889076e-07,12.661043233748348
